"gene_ID"	"pDirectEvidence"	"pIndirectEvidence"	"pCombinedEvidence"
7016	0.0397085365020492	NA	0.0397085365020492
7018	0.36121731324991	NA	0.36121731324991
7019	0.0602327708216999	NA	0.0602327708216999
7020	0.521372997728069	NA	0.521372997728069
7021	0.376303639750551	NA	0.376303639750551
7022	0.0229315238759421	NA	0.0229315238759421
7023	0.434209614895875	NA	0.434209614895875
7024	0.0431207536800245	NA	0.0431207536800245
7025	0.00713009973902724	NA	0.00713009973902724
7026	0.0145012782215353	NA	0.0145012782215353
7027	0.0610195916544423	0.6165	0.161017192238616
7029	0.421927075106078	0.6165	0.610398132681516
7030	2.65035149028258e-06	NA	2.65035149028258e-06
7031	0.258727427268613	NA	0.258727427268613
7032	0.225610204404107	NA	0.225610204404107
7033	0.91863231995862	NA	0.91863231995862
7035	0.205257106319222	0.9085	0.499653764308273
7036	0.211199643605243	NA	0.211199643605243
7037	0.106852140123953	NA	0.106852140123953
7038	0.780939035990868	NA	0.780939035990868
7039	0.00051151451737033	0.0375	0.000227525792992017
7040	0.510092956830979	0.816	0.78106792033868
7041	0.0520062412159344	NA	0.0520062412159344
7042	0.159907844800452	0.816	0.396216906686064
7043	0.133762066009004	0.816	0.350920422774135
7044	0.578380305070349	0.7935	0.816382617045852
7045	0.0248625846051354	NA	0.0248625846051354
7046	0.099496278739323	0.806	0.282548049541775
7047	0.0683434428641405	NA	0.0683434428641405
7048	0.0415068975429935	0.216	0.0512321490359999
7049	0.819330135897734	NA	0.819330135897734
7050	0.538626199184056	NA	0.538626199184056
7051	0.564101773341933	NA	0.564101773341933
7052	0.010807670409995	NA	0.010807670409995
7053	0.471388817739649	NA	0.471388817739649
7054	0.639737229183457	NA	0.639737229183457
7056	0.102594513640425	0.897	0.311574018688544
7057	0.0858604995608882	0.691	0.226914787810616
7058	0.0350929467180349	0.675	0.112346154330688
7059	0.356835941298706	0.675	0.583739771199725
7060	0.892507454166995	0.675	0.907738117067614
7062	0.243576053158213	NA	0.243576053158213
7064	0.224243763701141	NA	0.224243763701141
7066	0.106335767982922	NA	0.106335767982922
7067	0.000765445060768681	NA	0.000765445060768681
7068	0.0695530778383436	NA	0.0695530778383436
7069	0.0643799448027603	NA	0.0643799448027603
7070	0.274924695682074	0.0895	0.115764558519662
7071	0.0245934836720869	NA	0.0245934836720869
7072	0.0164645835773429	NA	0.0164645835773429
7073	0.0620475793328413	NA	0.0620475793328413
7074	0.0441741722190928	0.5	0.106299892698526
7075	0.36351563932536	NA	0.36351563932536
7076	0.645546046899519	NA	0.645546046899519
7077	0.0866763073703758	NA	0.0866763073703758
7078	0.290951460781869	NA	0.290951460781869
7079	0.505913995724411	NA	0.505913995724411
7080	0.53280279817865	NA	0.53280279817865
7082	0.0141957125596581	0.9125	0.0692548344661167
7083	0.257708880293996	NA	0.257708880293996
7084	0.342778342165168	NA	0.342778342165168
7086	0.0172661743497353	NA	0.0172661743497353
7087	0.260687118724265	NA	0.260687118724265
7088	0.107171058957852	NA	0.107171058957852
7089	0.566105425316047	NA	0.566105425316047
7090	0.12410216501026	NA	0.12410216501026
7091	0.00346132067110245	NA	0.00346132067110245
7092	0.0901024887638665	NA	0.0901024887638665
7093	0.00744198967248565	NA	0.00744198967248565
7094	0.799575398150428	0.703	0.885912910528221
